DEBUG | 10:39:02.210 | http-nio-8080-exec-7 | k.c.i.j.s.c.w.l.JteSessionListener.sessionCreated (30) | === Session is created for setMaxInactiveInterval([3600]seconds) === [org.apache.catalina.session.StandardSessionFacade@3c03ad0]
DEBUG | 10:39:02.362 | http-nio-8080-exec-8 | k.c.i.j.s.c.w.f.AfterRequestFilter.doFilterInternal (47) | 로그인 하지 않은 사용자 세션.[anonymousUser]
 WARN | 10:39:02.376 | http-nio-8080-exec-8 |           k.c.i.j.c.u.JteUtils.getUserId (51) | Someone not login with Call getUserId() ::: SessionInfo[org.springframework.security.authentication.AnonymousAuthenticationToken@728ec6d9: Principal: anonymousUser; Credentials: [PROTECTED]; Authenticated: true; Details: org.springframework.security.web.authentication.WebAuthenticationDetails@3bcc: RemoteIpAddress: 192.168.1.62; SessionId: null; Granted Authorities: ROLE_ANONYMOUS], stackTraceElements : [java.base/java.lang.Thread.getStackTrace(Thread.java:1606), kr.co.itcall.jte.common.util.JteUtils.getUserId(JteUtils.java:50), kr.co.itcall.jte.spring.config.web.filter.AfterRequestFilter.doFilterInternal(AfterRequestFilter.java:51), org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:107), org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:334)]
DEBUG | 10:39:02.376 | http-nio-8080-exec-8 | k.c.i.j.s.c.w.f.AfterRequestFilter.doFilterInternal (51) | Try to starting user request : requestInfo【http://192.168.1.62:8080/login】, user[anonymousUser]
 INFO | 10:39:03.654 | http-nio-8080-exec-8 |      k.c.i.j.u.SecureRsaCripto.getOneTimeRSA (279) | Public key[DynamicKeyMake] modulus : 98ed0e70a3b68182cc791435b74261d3c31dd3612613efdbd4ca522810d5acc14c4fda5dbee6e89c09290281f1c5c5ee2eab89b70b271dab3f3e4dc305e976a21eb4281feff081f70a3688fd94a5238b9ee72b997e21c1d9d6f23897f89333eda6cfad0900a16b669d95f4f0859d0948b158f787d1600727b2fefce04aa68dcb18911cbd86d54c8acbde06fcdace0cf1e56accd93ece99feb31e6747087bab5a46291fea4ff6e52be7dc394188b30ceedbbfe2c1bd6ee62ca06e146468dccf292ce75df9dc2d2705f41d1c21de9a4edbe1b7ca724400d9c6ce700b587c5f2943f86b55e6cbb39091594d1b49700cfdbadde857ea76427e0407a6a398b29fb1bd
 INFO | 10:39:03.656 | http-nio-8080-exec-8 |      k.c.i.j.u.SecureRsaCripto.getOneTimeRSA (280) | Public key[DynamicKeyMake] exponent: 10001
 INFO | 10:39:03.658 | http-nio-8080-exec-8 |      k.c.i.j.u.SecureRsaCripto.getOneTimeRSA (283) | Public key[DynamicKeyMake] : MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAmO0OcKO2gYLMeRQ1t0Jh08Md02EmE+/b1MpSKBDVrMFMT9pdvubonAkpAoHxxcXuLquJtwsnHas/Pk3DBel2oh60KB/v8IH3CjaI/ZSlI4ue5yuZfiHB2dbyOJf4kzPtps+tCQCha2adlfTwhZ0JSLFY94fRYAcnsv784EqmjcsYkRy9htVMisveBvzazgzx5WrM2T7Omf6zHmdHCHurWkYpH+pP9uUr59w5QYizDO7bv+LBvW7mLKBuFGRo3M8pLOdd+dwtJwX0HRwh3ppO2+G3ynJEANnGznALWHxfKUP4a1Xmy7OQkVlNG0lwDP263ehX6nZCfgQHpqOYsp+xvQIDAQAB
 INFO | 10:39:03.658 | http-nio-8080-exec-8 |      k.c.i.j.u.SecureRsaCripto.getOneTimeRSA (287) | Private key[DynamicKeyMake] modulus : 19305119225565086906175537857462652247648312843882661481453746075599703940928985564831387770132981475040283141028589859827475199844128280211907661428950995401054425369465305543959130025437810093246334978614377197531975614142406567027332024494556671755919921395741439114783458773725578399887141279747858178165401122732471975234450337706094439517466960676048384308160590442660667807926716209769811157562611237717964337572937568236927329541257765919460450905829191276001774987900219275861518397524925577389294931769378338618206680040062067529437338138673270478147894561134683255588563755753450713735249862175614360859069
 INFO | 10:39:03.658 | http-nio-8080-exec-8 |      k.c.i.j.u.SecureRsaCripto.getOneTimeRSA (288) | Private key[DynamicKeyMake] exponent: 9349890738646282611180214949322093550095443764250416681917441356571252922609013699334926518024794619821682823128743621782869071185017253493540459304153890855926705763953160249489704230242786977886261479106442873901192272586388251583297157170479627053491222134400857819893217036739911561267951712169869942675727846777429912441722788284216704492367004383131174629062576900185827919245061804526960954588379314159504465572295175933499615242761958853703168446686280022113599518415489292021413127948426701596884408044007024985656608738279178197061630447652517723433643651752977979229400309357338154798948237587340137257473
DEBUG | 10:39:03.715 | http-nio-8080-exec-8 | k.c.i.j.s.c.w.f.AfterRequestFilter.doFilterInternal (55) | Try to Ending user response : responseInfo【org.springframework.security.web.context.HttpSessionSecurityContextRepository$SaveToSessionResponseWrapper@39eacd44】
ERROR | 10:39:03.723 | http-nio-8080-exec-8 | o.a.c.c.C.[.[.[.[dispatcherServlet].log (175) | Servlet.service() for servlet [dispatcherServlet] in context with path [] threw exception [Request processing failed; nested exception is java.lang.NullPointerException] with root cause
java.lang.NullPointerException: null
	at kr.co.itcall.jte.util.SecureRsaCripto.initRsaSession(SecureRsaCripto.java:304) ~[classes/:?]
	at kr.co.itcall.jte.spring.login.LoginController.login(LoginController.java:43) ~[classes/:?]
	at jdk.internal.reflect.NativeMethodAccessorImpl.invoke0(Native Method) ~[?:?]
	at jdk.internal.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62) ~[?:?]
	at jdk.internal.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43) ~[?:?]
	at java.lang.reflect.Method.invoke(Method.java:566) ~[?:?]
	at org.springframework.web.method.support.InvocableHandlerMethod.doInvoke(InvocableHandlerMethod.java:189) ~[spring-web-5.1.4.RELEASE.jar:5.1.4.RELEASE]
	at org.springframework.web.method.support.InvocableHandlerMethod.invokeForRequest(InvocableHandlerMethod.java:138) ~[spring-web-5.1.4.RELEASE.jar:5.1.4.RELEASE]
	at org.springframework.web.servlet.mvc.method.annotation.ServletInvocableHandlerMethod.invokeAndHandle(ServletInvocableHandlerMethod.java:102) ~[spring-webmvc-5.1.4.RELEASE.jar:5.1.4.RELEASE]
	at org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter.invokeHandlerMethod(RequestMappingHandlerAdapter.java:895) ~[spring-webmvc-5.1.4.RELEASE.jar:5.1.4.RELEASE]
	at org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter.handleInternal(RequestMappingHandlerAdapter.java:800) ~[spring-webmvc-5.1.4.RELEASE.jar:5.1.4.RELEASE]
	at org.springframework.web.servlet.mvc.method.AbstractHandlerMethodAdapter.handle(AbstractHandlerMethodAdapter.java:87) ~[spring-webmvc-5.1.4.RELEASE.jar:5.1.4.RELEASE]
	at org.springframework.web.servlet.DispatcherServlet.doDispatch(DispatcherServlet.java:1038) ~[spring-webmvc-5.1.4.RELEASE.jar:5.1.4.RELEASE]
	at org.springframework.web.servlet.DispatcherServlet.doService(DispatcherServlet.java:942) ~[spring-webmvc-5.1.4.RELEASE.jar:5.1.4.RELEASE]
	at org.springframework.web.servlet.FrameworkServlet.processRequest(FrameworkServlet.java:1005) ~[spring-webmvc-5.1.4.RELEASE.jar:5.1.4.RELEASE]
	at org.springframework.web.servlet.FrameworkServlet.doGet(FrameworkServlet.java:897) ~[spring-webmvc-5.1.4.RELEASE.jar:5.1.4.RELEASE]
	at javax.servlet.http.HttpServlet.service(HttpServlet.java:634) ~[tomcat-embed-core-9.0.14.jar:9.0.14]
	at org.springframework.web.servlet.FrameworkServlet.service(FrameworkServlet.java:882) ~[spring-webmvc-5.1.4.RELEASE.jar:5.1.4.RELEASE]
	at javax.servlet.http.HttpServlet.service(HttpServlet.java:741) ~[tomcat-embed-core-9.0.14.jar:9.0.14]
	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:231) ~[tomcat-embed-core-9.0.14.jar:9.0.14]
	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:166) ~[tomcat-embed-core-9.0.14.jar:9.0.14]
	at org.apache.tomcat.websocket.server.WsFilter.doFilter(WsFilter.java:53) ~[tomcat-embed-websocket-9.0.14.jar:9.0.14]
	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:193) ~[tomcat-embed-core-9.0.14.jar:9.0.14]
	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:166) ~[tomcat-embed-core-9.0.14.jar:9.0.14]
	at org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:101) ~[spring-web-5.1.4.RELEASE.jar:5.1.4.RELEASE]
	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:193) ~[tomcat-embed-core-9.0.14.jar:9.0.14]
	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:166) ~[tomcat-embed-core-9.0.14.jar:9.0.14]
	at org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:101) ~[spring-web-5.1.4.RELEASE.jar:5.1.4.RELEASE]
	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:193) ~[tomcat-embed-core-9.0.14.jar:9.0.14]
	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:166) ~[tomcat-embed-core-9.0.14.jar:9.0.14]
	at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:320) ~[spring-security-web-5.1.3.RELEASE.jar:5.1.3.RELEASE]
	at kr.co.itcall.jte.spring.config.web.filter.AfterRequestFilter.doFilterInternal(AfterRequestFilter.java:52) ~[classes/:?]
	at org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:107) ~[spring-web-5.1.4.RELEASE.jar:5.1.4.RELEASE]
	at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:334) ~[spring-security-web-5.1.3.RELEASE.jar:5.1.3.RELEASE]
	at kr.co.itcall.jte.spring.config.web.filter.HtmlRequestTagFilter.doFilterInternal(HtmlRequestTagFilter.java:19) ~[classes/:?]
